@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R4235-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
-2.632893,0
-0.587644,0
-2.216252,0
-1.853011,0
-2.161692,0
-0.619698,0
-1.616481,0
-1.268309,0
-1.160169,0
-2.422898,0
-3.016756,0
-1.154108,0
-2.572984,0
-1.24965,0
-1.708109,0
-2.478773,0
-2.064367,0
-1.380193,0
-0.59202,0
-1.967937,0
-0.613392,0
-2.69805,0
-1.670111,0
-2.125035,0
-1.346453,0
-2.073441,0
-2.155378,0
-2.189248,0
-1.210159,0
-1.26445,0
-2.088613,0
-2.304482,0
-1.837354,0
-0.161162,0
-2.307058,0
-1.936184,0
-2.129503,0
-2.357602,0
-1.222885,0
-1.959055,0
-1.955542,0
-0.829878,0
-2.247389,0
-1.449866,0
-1.993295,0
-1.165551,0
-1.349158,0
-1.626681,0
-0.958512,0
-1.594977,0
-6.942011,1
-7.819757,1
-7.071187,1
-8.004618,1
-7.921737,1
-7.216263,1
-7.56534,1
-7.214547,1
-7.390136,1
-7.731453,1
-6.235655,1
-5.922638,1
-7.194537,1
-6.030815,1
-5.357704,1
-5.489786,1
-7.034583,1
-6.847874,1
-5.405503,1
-6.469465,1
-8.04131,1
-6.427969,1
-8.325939,1
-7.177726,1
-6.857964,1
-7.191675,1
-8.091531,1
-7.314979,1
-8.361142,1
-6.992409,1
-6.719177,1
-7.610699,1
-6.237546,1
-8.054032,1
-7.482498,1
-8.208918,1
-6.963108,1
-8.370674,1
-8.449728,1
-6.617112,1
-6.536789,1
-7.262611,1
-6.171296,1
-5.62387,1
-6.544364,1
-6.924449,1
-6.328336,1
-6.715177,1
-7.046161,1
-6.01791,1
