@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R106-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
4.668013,0
5.175104,0
3.249271,0
-3.877486,0
6.486643,0
7.446947,0
1.384543,0
3.490587,0
-0.422349,0
5.090367,0
-2.133589,0
-5.038419,0
1.026049,0
6.619176,0
-0.022064,0
3.737497,0
3.321671,0
3.121064,0
-2.625856,0
-2.185011,0
-3.003138,0
-1.611805,0
9.936659,0
7.887359,0
4.629256,0
-0.248891,0
-2.51593,0
1.383737,0
2.370554,0
2.984928,0
0.015412,0
7.375212,0
6.929387,0
-2.036409,0
-4.266528,0
-3.704452,0
1.820031,0
-0.984862,0
-0.324495,0
3.11948,0
4.876874,0
9.955149,0
5.357083,0
2.619116,0
1.270778,0
7.803462,0
1.258985,0
4.751166,0
-2.217623,0
4.818041,0
10.930384,1
6.594245,1
14.698309,1
8.914536,1
4.394602,1
6.131049,1
4.565934,1
3.291886,1
5.820345,1
10.751554,1
9.121848,1
11.911861,1
1.949558,1
10.998662,1
7.393869,1
17.260978,1
10.708818,1
2.837973,1
7.762326,1
3.648574,1
8.014501,1
5.523311,1
1.894883,1
9.350817,1
11.256955,1
4.783376,1
8.549459,1
10.0834,1
6.143459,1
7.200835,1
2.403452,1
7.325899,1
7.786688,1
14.828014,1
3.005372,1
5.60375,1
10.895994,1
5.356562,1
13.829094,1
15.444644,1
13.094536,1
2.860233,1
7.360189,1
8.363223,1
7.279584,1
12.235651,1
12.552279,1
12.552704,1
9.94953,1
6.897168,1
