@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R113-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
-0.79368,0
-5.366425,0
-0.147556,0
-11.004006,0
-3.077338,0
2.00441,0
-3.873935,0
-1.319683,0
-1.607661,0
4.326998,0
-5.684373,0
-7.149619,0
-1.535679,0
-4.859234,0
1.125008,0
-6.874483,0
-9.70173,0
-2.476808,0
-2.369931,0
-4.21017,0
-5.485137,0
-1.822603,0
-4.886712,0
-0.288979,0
-7.817358,0
-3.380583,0
-4.881225,0
-6.13995,0
-0.750174,0
-5.154275,0
4.40245,0
-12.515585,0
-8.253347,0
-6.631877,0
-0.968025,0
-3.826324,0
2.054398,0
-7.337215,0
-5.745048,0
2.201105,0
-4.754062,0
-1.32483,0
-4.976482,0
-1.610239,0
-2.079217,0
-1.692119,0
-7.072781,0
-1.499959,0
-3.756996,0
1.104307,0
-2.428945,1
-12.703487,1
-5.501979,1
-6.528016,1
-13.756721,1
-13.177097,1
-5.468865,1
-7.005738,1
-8.942233,1
-6.533966,1
-13.50793,1
-4.260154,1
-5.53739,1
-7.096247,1
-7.367378,1
-4.383333,1
-1.185785,1
-1.427621,1
-10.296725,1
-11.578044,1
-6.118509,1
-7.737296,1
-9.63641,1
-5.860307,1
-2.67727,1
-7.848992,1
-7.923604,1
-6.528528,1
-12.487807,1
-7.970795,1
-4.970425,1
-9.056435,1
-10.413685,1
-11.9485,1
-10.16151,1
-11.039217,1
-4.883707,1
-13.815063,1
-9.685768,1
-10.798565,1
-6.824448,1
-11.04587,1
-13.020778,1
-12.929217,1
-12.855987,1
-5.899207,1
-7.11669,1
-9.81558,1
-11.995128,1
-12.487384,1
