@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N2-R3423-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute CLASS {0,1}

@data
-1.371033,-2.767991,0
-2.891612,-7.388075,0
4.660324,-3.221164,0
-3.52986,-0.633215,0
1.324843,-3.464494,0
1.221014,-15.259573,0
5.906484,-8.52219,0
1.669564,-4.145184,0
-2.799561,-15.928904,0
1.861007,-7.141382,0
-2.981024,-3.705549,0
-2.746489,1.808813,0
1.932846,2.563425,0
-3.831066,-3.096907,0
-1.025908,-0.39251,0
-4.265303,-6.677926,0
-4.271029,-6.368813,0
-5.073457,0.716931,0
-1.194543,2.415653,0
-5.479294,-8.437139,0
1.929628,-1.338764,0
1.472958,-3.520914,0
2.348686,-15.57009,0
-0.154221,-5.828846,0
0.807096,-5.441688,0
1.42127,6.198579,0
-1.828326,-0.512519,0
1.445768,2.004364,0
-5.284477,-3.633607,0
-0.98073,5.833384,0
-4.153602,5.061002,0
-0.443527,-3.296758,0
-1.435762,-3.496063,0
1.377995,-7.872533,0
1.037081,0.90295,0
-0.067423,0.20627,0
4.486706,-5.132894,0
-6.189561,-4.072539,0
-1.761447,-10.989152,0
2.365653,-3.14638,0
5.245454,0.557114,0
6.339964,-11.782894,0
6.421586,1.117354,0
-3.097867,-7.384035,0
-6.749185,-10.051856,0
6.818155,-4.073891,0
-0.883554,3.671907,0
0.030693,-6.736533,0
-4.306809,-5.624859,0
9.210347,-3.201985,0
-2.60502,-12.851379,1
-2.9493,-17.243163,1
1.535033,-17.685729,1
2.789584,-15.673045,1
-1.151371,-7.484395,1
0.227252,-14.27085,1
-1.471584,-4.489897,1
-5.005128,-6.599764,1
-5.350123,-8.850193,1
-7.538286,-17.048256,1
-5.394485,-17.751909,1
3.277664,-12.516737,1
-6.800014,-18.747207,1
1.991126,-25.995988,1
-4.618021,-12.133459,1
0.951253,-11.876292,1
0.607781,-15.150334,1
-1.889869,-13.654065,1
0.754564,-13.124588,1
-7.195297,-16.64395,1
1.307163,-22.190967,1
5.036227,-13.667041,1
-1.05804,-12.139521,1
8.640265,-13.53316,1
-2.11069,-6.130094,1
1.09727,-13.10994,1
3.571113,-4.95321,1
2.007089,-7.373643,1
1.918747,-10.380735,1
-1.698493,-13.130591,1
-4.758851,-15.459437,1
-1.657984,-13.041107,1
-3.70527,-21.366086,1
-2.158054,-19.037958,1
-4.27255,-13.439915,1
-4.657189,-3.897878,1
3.642865,-13.988742,1
-2.282474,-12.230813,1
-0.58122,-9.389985,1
3.529234,-21.263934,1
3.400186,-17.923835,1
-2.34972,-15.510976,1
-0.966175,-7.620371,1
-2.597018,-10.847933,1
-0.875853,-8.663657,1
2.991243,-14.010651,1
-3.609302,-24.055273,1
-6.462836,-14.334529,1
-5.037882,-10.471333,1
-4.262482,-11.525985,1
