@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R101-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
3.825569,0
-0.985162,0
5.320037,0
2.408656,0
6.062657,0
-5.083611,0
1.19732,0
4.947607,0
-0.609287,0
3.872108,0
2.769869,0
-0.143983,0
5.840017,0
2.770833,0
5.446107,0
5.477407,0
2.737298,0
5.515847,0
3.970661,0
-1.747189,0
4.033404,0
-1.123819,0
-1.307699,0
-1.83312,0
-1.548109,0
5.901122,0
8.177958,0
3.405172,0
1.221052,0
11.219377,0
9.542435,0
-1.159727,0
2.409484,0
-2.370083,0
9.077914,0
6.355308,0
-3.065654,0
6.869184,0
-1.82983,0
2.025471,0
4.838378,0
-3.135915,0
3.321337,0
7.285638,0
7.555609,0
0.64469,0
4.6485,0
3.485011,0
-2.100288,0
-2.850752,0
13.973495,1
10.475469,1
5.028765,1
6.993968,1
7.51773,1
10.988618,1
15.939027,1
17.386772,1
11.092611,1
13.350002,1
10.554153,1
11.818156,1
12.523698,1
7.569839,1
15.490263,1
14.747392,1
9.626971,1
12.989354,1
18.448097,1
9.579954,1
10.563227,1
8.214764,1
12.865849,1
9.991486,1
11.594905,1
12.619393,1
17.17518,1
15.706564,1
4.403223,1
12.539191,1
11.821387,1
13.383274,1
11.147571,1
7.869201,1
6.991616,1
18.978492,1
12.443185,1
15.528799,1
8.858296,1
6.891214,1
11.746245,1
14.818292,1
13.518875,1
6.755407,1
10.950534,1
7.675683,1
6.52568,1
16.257467,1
13.082975,1
14.854144,1
