@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N2-R342-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute CLASS {0,1}

@data
5.340376,-6.246122,0
0.30969,-2.762387,0
11.164685,-14.276275,0
5.972012,-12.345761,0
2.811179,-2.326607,0
4.789069,-5.036518,0
4.837685,0.669306,0
5.636617,-9.666127,0
10.708519,-1.642297,0
10.763914,-10.929628,0
8.693313,-10.534013,0
7.276489,-6.406826,0
8.90933,-15.352749,0
3.325652,-12.292888,0
6.743185,-5.030798,0
7.409514,-5.509356,0
2.563581,-4.846932,0
8.603014,-16.414566,0
5.088504,-5.057345,0
5.735443,1.238427,0
6.322011,-6.395205,0
11.176111,-8.664496,0
3.042475,-1.047396,0
2.564203,-5.092277,0
-0.396884,-1.559892,0
7.926398,-13.30677,0
8.593923,-4.041835,0
3.235261,-6.420432,0
4.268372,-6.28415,0
3.764746,-3.233866,0
9.642739,-9.257746,0
-4.031466,0.432845,0
-0.011855,-8.134379,0
7.855711,-4.346848,0
15.35569,-12.923008,0
11.582702,-5.098466,0
8.829126,-7.281249,0
4.205281,-3.23083,0
6.501423,-1.620845,0
9.030157,-9.874649,0
3.728469,-10.395116,0
1.15495,-2.608348,0
6.049936,-6.723101,0
7.958348,-8.002156,0
11.877616,-9.104467,0
6.169367,-7.896845,0
1.470417,-5.393648,0
4.9235,-2.777382,0
4.711903,-2.603528,0
4.704587,-4.124915,0
31.100168,-33.473672,1
28.454675,-25.344566,1
25.792874,-31.742807,1
24.970126,-23.302083,1
24.406098,-31.015252,1
25.766965,-26.809625,1
29.522666,-28.419434,1
32.089694,-31.34718,1
32.298768,-35.744176,1
28.965602,-33.321433,1
23.459173,-21.739377,1
27.815016,-29.314532,1
35.370151,-31.157687,1
26.308006,-17.755325,1
28.971892,-28.432889,1
21.737798,-25.081142,1
31.101645,-28.162493,1
32.810272,-31.753962,1
27.492304,-27.27031,1
29.399644,-27.136304,1
30.320538,-27.505997,1
27.865393,-24.138371,1
33.398601,-32.366804,1
27.363763,-24.932168,1
27.159351,-34.440305,1
35.359913,-32.314529,1
29.080947,-29.264896,1
26.842648,-33.294033,1
24.989725,-27.08229,1
35.449072,-32.018474,1
35.402581,-29.608444,1
22.76124,-26.215346,1
28.235432,-22.907311,1
22.14491,-26.679264,1
28.751971,-23.757587,1
28.084889,-34.600676,1
27.91338,-24.201082,1
24.928452,-27.769276,1
21.518811,-31.389403,1
21.86584,-23.251846,1
29.282036,-23.780136,1
35.936386,-28.96705,1
24.587428,-28.742547,1
22.637737,-28.176286,1
21.874436,-24.768772,1
21.728291,-22.477272,1
22.935676,-22.469322,1
27.478169,-32.094914,1
23.760242,-30.678315,1
27.163747,-29.392169,1
