@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R32234-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
0.583119,0
0.439711,0
0.938931,0
0.161803,0
0.507431,0
0.510514,0
0.329874,0
0.036977,0
1.076881,0
0.550875,0
1.055399,0
0.371691,0
1.080423,0
0.876841,0
0.057674,0
0.825468,0
0.596874,0
0.165324,0
0.263449,0
0.766163,0
0.171517,0
1.012221,0
1.050501,0
1.2133,0
0.093105,0
0.058023,0
0.315426,0
1.109394,0
0.928822,0
0.894371,0
0.818992,0
0.186309,0
0.425236,0
0.05095,0
0.364766,0
0.602723,0
0.411409,0
0.383325,0
1.132091,0
0.42873,0
1.165122,0
0.294752,0
0.319887,0
1.130615,0
0.738308,0
0.882956,0
0.843933,0
0.467941,0
0.039823,0
0.270835,0
2.278457,1
2.637598,1
2.325393,1
2.891871,1
2.976179,1
2.920594,1
2.4544,1
2.920771,1
2.392319,1
3.024299,1
2.907466,1
2.639574,1
2.364085,1
2.633325,1
1.927,1
2.18803,1
3.070175,1
2.835828,1
2.125294,1
2.649563,1
3.037235,1
2.284029,1
2.951459,1
2.620173,1
1.980188,1
2.746708,1
3.052193,1
2.715716,1
3.081041,1
2.402442,1
2.007042,1
2.289647,1
2.63862,1
2.770124,1
3.097061,1
3.031834,1
2.367187,1
3.17865,1
3.154674,1
2.326177,1
2.087967,1
2.922272,1
2.481644,1
2.111757,1
3.020547,1
2.41632,1
3.026967,1
2.052815,1
2.579688,1
2.201338,1
