@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R102-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
7.738217,0
9.767468,0
8.640982,0
6.363876,0
5.196895,0
15.759986,0
5.120963,0
5.296727,0
9.836525,0
9.868068,0
6.904302,0
-0.096992,0
4.543267,0
10.065775,0
4.732715,0
10.311013,0
4.170597,0
12.569401,0
2.340299,0
4.55154,0
2.613127,0
8.293771,0
16.202967,0
9.910424,0
5.997924,0
3.235413,0
3.740844,0
2.680818,0
9.241854,0
2.846871,0
3.341533,0
5.658414,0
11.451184,0
8.669693,0
3.029661,0
3.761364,0
9.820749,0
2.316876,0
8.023311,0
12.134695,0
3.545961,0
15.546727,0
7.243779,0
8.154663,0
12.772885,0
9.308411,0
-0.535159,0
9.087341,0
5.600547,0
4.067498,0
30.178605,1
25.299039,1
32.509485,1
28.166128,1
28.241758,1
28.960488,1
18.603527,1
22.380659,1
30.514729,1
36.27332,1
28.709099,1
33.701934,1
30.58159,1
30.56714,1
23.923441,1
29.535829,1
34.015271,1
26.301443,1
25.049885,1
26.200378,1
29.664478,1
21.58922,1
26.393685,1
25.456166,1
32.209902,1
28.688535,1
24.5732,1
30.962857,1
26.857154,1
29.809155,1
25.323291,1
23.033334,1
36.857274,1
36.715548,1
26.036195,1
21.797676,1
26.946552,1
27.685047,1
27.056746,1
33.943741,1
32.045656,1
27.350239,1
25.917324,1
25.831387,1
23.673314,1
24.586538,1
37.102368,1
35.338428,1
29.941001,1
23.446999,1
