@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R109-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
2.348416,0
0.163146,0
4.350058,0
1.114224,0
3.039726,0
-2.416766,0
-0.172357,0
2.641225,0
-2.253343,0
2.03458,0
1.086372,0
2.137231,0
1.180508,0
1.913854,0
-4.720584,0
1.539335,0
6.173038,0
-3.374633,0
0.163145,0
0.202687,0
-0.001834,0
1.681059,0
1.502347,0
3.215318,0
5.683797,0
3.780556,0
0.139792,0
0.332599,0
-2.977764,0
1.461198,0
-3.984364,0
6.911585,0
0.845143,0
-2.538712,0
3.266554,0
2.675842,0
-0.333655,0
0.082024,0
2.840936,0
-4.779736,0
7.087095,0
0.282729,0
4.867071,0
0.029519,0
-1.07052,0
5.252008,0
3.668402,0
-1.669919,0
-3.276669,0
6.711715,0
4.709057,1
10.115678,1
7.24125,1
3.733506,1
2.937199,1
1.640213,1
6.548238,1
6.888031,1
4.640346,1
-0.391804,1
3.303078,1
-0.087363,1
2.539296,1
4.452796,1
4.47543,1
3.157418,1
0.811913,1
-1.975909,1
2.258022,1
5.286873,1
2.431345,1
7.458218,1
3.063731,1
3.78593,1
0.382219,1
5.318781,1
6.475661,1
0.658439,1
4.184429,1
7.710846,1
5.065462,1
2.401215,1
-1.923363,1
2.580139,1
3.947728,1
6.459535,1
4.305637,1
1.896047,1
8.605969,1
3.929339,1
5.200425,1
6.628831,1
4.282415,1
5.852258,1
4.290047,1
5.109953,1
-1.18506,1
0.675442,1
4.234094,1
8.074004,1
