@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R4234-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
-2.650846,0
0.67723,0
-0.394677,0
-2.884612,0
-2.058908,0
0.906078,0
-1.74283,0
-2.276776,0
2.192785,0
-2.380949,0
-1.449951,0
-0.686151,0
-0.497716,0
1.201509,0
-3.033998,0
-1.362388,0
-1.505947,0
-1.964905,0
-0.053637,0
-0.627411,0
-0.471381,0
-1.01673,0
1.108307,0
0.904598,0
-2.196329,0
-3.732044,0
-2.833843,0
0.355747,0
1.490184,0
1.245025,0
-0.641918,0
-3.648563,0
-1.774834,0
-0.099726,0
-2.922008,0
-1.23655,0
-2.39087,0
-2.942712,0
2.299008,0
-1.993529,0
1.031635,0
-0.380737,0
-2.991721,0
1.858375,0
-0.790141,0
1.387592,0
0.876099,0
-1.19643,0
-1.671965,0
-1.943653,0
-3.952112,1
-4.160573,1
-4.007048,1
-3.472263,1
-2.968,1
-1.845119,1
-4.424379,1
-1.841106,1
-4.343394,1
-2.406436,1
-0.021426,1
-0.520191,1
-4.084624,1
-0.752924,1
-2.359356,1
-1.542293,1
-0.884141,1
-1.487239,1
-1.638076,1
-1.526218,1
-2.946674,1
-2.945072,1
-3.843226,1
-3.002745,1
-5.013783,1
-2.510789,1
-2.981515,1
-2.873906,1
-3.379473,1
-3.540398,1
-4.637985,1
-5.186537,1
-1.127031,1
-4.065905,1
-1.63153,1
-3.289717,1
-3.628808,1
-2.997631,1
-3.247266,1
-3.134451,1
-3.957073,1
-1.92698,1
-1.643627,1
-2.111653,1
-0.148974,1
-3.353397,1
0.290954,1
-4.442707,1
-2.916793,1
-2.498907,1
