@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N2-R3426-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute CLASS {0,1}

@data
6.709346,-0.370697,0
15.524943,-2.301219,0
18.083093,-3.219223,0
19.286983,-9.896036,0
14.728394,-1.235395,0
14.234407,1.404868,0
14.537713,-1.153462,0
13.673291,-2.665091,0
11.621802,-1.395564,0
9.7461,0.306328,0
12.837684,-5.988054,0
12.895965,-8.271324,0
16.827873,-7.766635,0
21.369112,-6.285667,0
25.016395,-8.775402,0
13.667729,-3.487948,0
18.210225,-4.153707,0
22.722704,-10.489332,0
9.859558,-4.766171,0
9.242403,-2.394175,0
19.515115,-7.305078,0
14.638265,-4.078596,0
10.027099,4.150953,0
10.106366,1.178514,0
7.364458,1.185955,0
16.629397,-7.405399,0
14.107354,-5.858609,0
19.057931,-7.726218,0
15.289045,-5.127076,0
7.057599,-3.808786,0
20.34079,-9.686331,0
8.449985,0.325098,0
18.151377,-4.461074,0
20.65058,-6.659702,0
9.456759,-5.278611,0
8.257784,-3.6513,0
11.247502,-1.155933,0
17.948357,-7.25378,0
9.453169,-0.095688,0
14.583025,-4.527224,0
10.257183,-1.381558,0
13.353974,3.62764,0
10.755099,-1.285784,0
12.084933,-2.907893,0
11.486615,-3.151864,0
9.083284,1.519105,0
11.704757,-5.623525,0
21.384031,-3.760292,0
21.398417,-7.64658,0
10.20982,2.612928,0
51.544762,-12.84965,1
50.22705,-11.458062,1
58.866599,-11.197604,1
49.947724,-10.094666,1
58.352243,-18.700538,1
59.391802,-16.613467,1
53.12447,-16.511998,1
54.515095,-17.164275,1
52.446838,-17.334571,1
62.01023,-16.891142,1
52.287656,-13.168864,1
61.248938,-14.510742,1
56.268904,-15.523237,1
53.353746,-6.990473,1
59.611372,-17.125465,1
52.615036,-10.45732,1
53.64583,-11.737568,1
64.808396,-19.687503,1
63.36062,-17.596733,1
47.533802,-14.197738,1
55.693079,-12.292609,1
52.391781,-11.884148,1
56.438682,-18.20693,1
61.366341,-13.478335,1
60.076867,-17.383739,1
53.008565,-14.896793,1
56.689217,-15.336268,1
66.565785,-18.532515,1
59.224468,-16.804915,1
56.557452,-14.80997,1
55.04321,-15.602515,1
64.685535,-17.67357,1
53.659027,-12.543578,1
51.007705,-10.628438,1
49.584983,-14.318246,1
56.57605,-19.788602,1
54.788678,-11.507297,1
52.554907,-15.894388,1
51.34202,-12.563806,1
56.903852,-9.554054,1
47.213109,-7.866921,1
53.223764,-14.926312,1
64.666926,-19.061582,1
58.84022,-16.725344,1
52.368035,-15.327301,1
59.820973,-12.240182,1
53.589684,-9.813943,1
63.489933,-17.663629,1
53.801925,-15.497763,1
54.828852,-15.855983,1
