@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N1-R42556-DGaussian

@attribute K1 numeric
@attribute CLASS {0,1}

@data
0.632082,0
2.436597,0
3.854793,0
-1.398547,0
0.731572,0
2.916684,0
0.179434,0
-1.50428,0
6.358634,0
0.687447,0
3.595944,0
1.137882,0
4.403788,0
4.74979,0
-1.967514,0
2.645303,0
1.531293,0
-0.709428,0
1.123415,0
2.921855,0
0.411734,0
3.722667,0
5.447956,0
6.017255,0
-1.19765,0
-2.477213,0
-0.683371,0
5.156709,0
5.190619,0
4.859024,0
3.144384,0
-1.849897,0
0.576864,0
0.151822,0
-0.530184,0
1.754409,0
0.064663,0
-0.463441,0
6.68009,0
0.432114,0
5.897668,0
1.022002,0
-0.779308,0
6.350864,0
2.679738,0
4.913061,0
4.366228,0
1.18895,0
-1.048766,0
-0.228203,0
7.161211,1
8.593557,1
7.328122,1
10.219863,1
10.961263,1
11.538323,1
7.591827,1
11.542045,1
7.377155,1
11.584913,1
12.816027,1
11.268432,1
7.442067,1
11.070404,1
6.776607,1
8.527035,1
12.902286,1
11.426328,1
8.180005,1
10.575721,1
11.246341,1
7.923342,1
10.21116,1
9.364627,1
5.067288,1
10.283376,1
11.286843,1
9.880655,1
11.122701,1
8.009934,1
5.461032,1
6.306523,1
10.819786,1
9.247778,1
12.473567,1
10.97127,1
7.789589,1
11.833139,1
11.544496,1
7.970655,1
6.316872,1
11.485775,1
9.748643,1
7.773424,1
13.221684,1
8.208138,1
13.572213,1
5.806062,1
9.248903,1
7.885159,1
