@relation demo3-weka.filters.unsupervised.attribute.RandomProjection-N2-R3425-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute CLASS {0,1}

@data
0.570588,-4.733172,0
0.976792,-8.361227,0
3.107074,-6.482109,0
0.687535,-2.474774,0
-3.232427,-11.794942,0
2.427436,-4.914945,0
-4.729102,-8.870708,0
-2.897089,-3.374315,0
-8.094319,-7.313165,0
-0.084548,-3.555866,0
-1.798744,-2.139823,0
-4.561399,-6.191408,0
-2.761677,-1.194134,0
-0.618414,-6.930161,0
2.710741,-13.06883,0
-5.731927,-9.115975,0
-6.924648,-12.009058,0
2.150983,-3.942969,0
4.621283,-4.962716,0
-2.985381,-9.712108,0
-0.660419,-7.271692,0
5.548016,-7.889079,0
-2.906941,-7.153346,0
3.384145,-7.542079,0
-0.675379,-6.246209,0
4.145713,-5.83199,0
-1.295989,-9.74265,0
-4.208126,-7.391782,0
3.483316,-6.396724,0
-3.446116,-6.832255,0
2.334397,-10.736042,0
-4.776485,-8.559319,0
0.572145,-5.259536,0
-2.210487,-8.35992,0
-1.88895,-2.910254,0
0.824329,-8.244318,0
5.613567,-4.494381,0
-7.727914,-9.985459,0
-0.651219,-8.074167,0
2.671768,-2.15572,0
-2.478882,-2.420181,0
5.968135,-6.613968,0
-0.109063,-7.331223,0
-5.248278,-4.051522,0
-2.918421,-4.802331,0
-0.993734,-5.054711,0
-5.763182,-5.613923,0
0.330877,-13.4373,0
1.168599,-11.191909,0
5.245554,-9.227745,0
0.529191,-24.600036,1
-5.258227,-29.915902,1
3.620385,-28.431103,1
2.801397,-26.200878,1
7.261339,-23.740794,1
-0.863984,-26.420869,1
-1.658235,-29.826371,1
2.002323,-30.037031,1
2.403618,-23.077435,1
3.440545,-26.9941,1
-6.710196,-28.35142,1
7.083764,-29.053699,1
4.410585,-28.084584,1
-2.467271,-33.628781,1
-5.519608,-31.733651,1
-1.394394,-27.923846,1
6.719419,-28.413068,1
2.413831,-28.130003,1
-7.403322,-30.20228,1
-6.600189,-23.792812,1
-6.115052,-25.363161,1
-2.523618,-29.010977,1
-2.704633,-24.174578,1
-0.567371,-31.923903,1
10.906803,-26.486312,1
-1.841224,-25.572603,1
1.884772,-30.930919,1
8.867804,-28.880888,1
2.673768,-28.470018,1
0.259435,-32.292837,1
-1.204301,-30.494605,1
-1.96848,-30.518258,1
2.299436,-27.188239,1
-1.139465,-22.570727,1
0.4975,-28.25733,1
-4.218593,-24.849115,1
-1.701413,-31.368858,1
-2.327186,-21.123723,1
-0.967681,-23.182021,1
-1.967992,-28.658121,1
-4.236225,-27.979353,1
-4.693386,-29.707581,1
2.554818,-31.912127,1
-0.445631,-28.298523,1
-2.635936,-25.281174,1
0.435833,-33.698953,1
3.586098,-26.151299,1
-0.084824,-29.254946,1
0.97133,-23.664336,1
-6.543858,-27.925856,1
